Statistical profiling result from isolate-0x6371090-74757-v8.log, (7215 ticks, 1 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    1.2%    0.1%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
      5    1.2%    0.1%  operator new(unsigned long)@@GLIBCXX_3.4
      4    1.0%    0.1%  cfree@GLIBC_2.2.5
      4    1.0%    0.1%  __mprotect@@GLIBC_PRIVATE
      3    0.7%    0.0%  __lll_lock_wait
      3    0.7%    0.0%  __libc_read
      3    0.7%    0.0%  __GI___pthread_mutex_lock
      2    0.5%    0.0%  std::ostream::operator<<(int)@@GLIBCXX_3.4
      2    0.5%    0.0%  operator delete[](void*)@@GLIBCXX_3.4
      2    0.5%    0.0%  __pthread_mutex_unlock_usercnt
      1    0.2%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.2%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      1    0.2%    0.0%  std::_Rb_tree_increment(std::_Rb_tree_node_base*)@@GLIBCXX_3.4
      1    0.2%    0.0%  std::_Rb_tree_decrement(std::_Rb_tree_node_base*)@@GLIBCXX_3.4
      1    0.2%    0.0%  operator new[](unsigned long)@@GLIBCXX_3.4
      1    0.2%    0.0%  operator delete(void*)@@GLIBCXX_3.4
      1    0.2%    0.0%  fputc@@GLIBC_2.2.5
      1    0.2%    0.0%  __munmap@@GLIBC_PRIVATE
      1    0.2%    0.0%  __errno_location
      1    0.2%    0.0%  __GI___pthread_rwlock_wrlock
      1    0.2%    0.0%  __GI___pthread_mutex_unlock
      1    0.2%    0.0%  _IO_setb@@GLIBC_2.2.5
      1    0.2%    0.0%  _IO_file_sync@@GLIBC_2.2.5
      1    0.2%    0.0%  _IO_default_xsputn@@GLIBC_2.2.5

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   4709   65.3%  /home/raul/.nvm/versions/node/v17.3.0/bin/node
   2866   60.9%    /home/raul/.nvm/versions/node/v17.3.0/bin/node
   1250   43.6%      Function: ^compileFunction node:vm:308:25
   1062   85.0%        Function: ^wrapSafe node:internal/modules/cjs/loader:1011:18
   1062  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
   1040   97.9%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
     22    2.1%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1106:37
    173   13.8%        LazyCompile: *Module._compile node:internal/modules/cjs/loader:1051:37
    173  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
    173  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
     15    1.2%        LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1011:18
     15  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1051:37
     15  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1106:37
    456   15.9%      LazyCompile: *<anonymous> file:///home/raul/coderhousecourse/github_entregable/Loggers%20Y%20Gzip/routes/random.js:10:23
    456  100.0%        Function: ^handle /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/layer.js:86:49
    456  100.0%          LazyCompile: ~next /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/route.js:114:16
    456  100.0%            LazyCompile: ~dispatch /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/route.js:98:45
    128    4.5%      LazyCompile: ~configSecureContext node:internal/tls/secure-context:120:29
    128  100.0%        LazyCompile: ~createSecureContext node:_tls_common:98:29
    128  100.0%          LazyCompile: ~connect node:_tls_wrap:1597:35
    128  100.0%            LazyCompile: ~makeConnection /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connect.js:227:24
    101    3.5%      /home/raul/.nvm/versions/node/v17.3.0/bin/node
     17   16.8%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
     17  100.0%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      9   52.9%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      8   47.1%            Function: ^trySelf node:internal/modules/cjs/loader:441:17
     15   14.9%        LazyCompile: *<anonymous> file:///home/raul/coderhousecourse/github_entregable/Loggers%20Y%20Gzip/routes/random.js:10:23
     15  100.0%          Function: ^handle /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/layer.js:86:49
     15  100.0%            LazyCompile: ~next /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/route.js:114:16
      8    7.9%        Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      8  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      7   87.5%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1   12.5%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      4    4.0%        Function: ^compileFunction node:vm:308:25
      3   75.0%          Function: ^wrapSafe node:internal/modules/cjs/loader:1011:18
      3  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
      1   25.0%          LazyCompile: *Module._compile node:internal/modules/cjs/loader:1051:37
      1  100.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      3    3.0%        LazyCompile: ~isIPv6 node:internal/net:35:16
      3  100.0%          LazyCompile: ~isIP node:internal/net:39:14
      3  100.0%            LazyCompile: ~parseSslOptions /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connect.js:211:25
      3    3.0%        LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      3  100.0%          Function: ^Module.require node:internal/modules/cjs/loader:991:36
      3  100.0%            Function: ^require node:internal/modules/cjs/helpers:101:31
      3    3.0%        LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      3  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      3  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      2    2.0%        LazyCompile: ~resolvePackageTargetString node:internal/modules/esm/resolve:464:36
      2  100.0%          LazyCompile: ~resolvePackageTarget node:internal/modules/esm/resolve:521:30
      1   50.0%            LazyCompile: ~resolvePackageTarget node:internal/modules/esm/resolve:521:30
      1   50.0%            LazyCompile: ~packageExportsResolve node:internal/modules/esm/resolve:624:31
      2    2.0%        LazyCompile: ~pathtoRegexp /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/path-to-regexp/index.js:28:22
      2  100.0%          LazyCompile: ~Layer /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/layer.js:33:15
      1   50.0%            LazyCompile: ~use /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/index.js:428:25
      1   50.0%            LazyCompile: ~route /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/index.js:491:29
      2    2.0%        LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connect.js:63:43
      2  100.0%          LazyCompile: ~prepareHandshakeDocument /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connect.js:128:34
      2  100.0%            LazyCompile: ~performInitialHandshake /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connect.js:47:33
      2    2.0%        LazyCompile: *stat node:internal/modules/cjs/loader:151:14
      1   50.0%          Function: ^tryFile node:internal/modules/cjs/loader:384:17
      1  100.0%            Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
      1   50.0%          Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2    2.0%        Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      1   50.0%          Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1   50.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      1  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:963:33
      2    2.0%        Function: ^Module.load node:internal/modules/cjs/loader:963:33
      2  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:757:24
      2  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:991:36
      2    2.0%        Function: ^FastBuffer node:internal/buffer:958:14
      2  100.0%          Function: ^createUnsafeBuffer node:internal/buffer:1059:28
      2  100.0%            Function: ^createPool node:buffer:150:20
     92    3.2%      Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
     72   78.3%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
     11   15.3%          Function: ~<anonymous> node:crypto:1:1
     11  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      9   12.5%          Function: ~<anonymous> node:http:1:1
      9  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      6    8.3%          Function: ~<anonymous> node:_http_agent:1:1
      6  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      5    6.9%          Function: ~<anonymous> node:tls:1:1
      5  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      4    5.6%          Function: ~<anonymous> node:internal/child_process:1:1
      4  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      4    5.6%          Function: ~<anonymous> node:child_process:1:1
      4  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      4    5.6%          Function: ~<anonymous> node:_http_client:1:1
      4  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3    4.2%          Function: ~<anonymous> node:assert:1:1
      3  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3    4.2%          Function: ~<anonymous> node:_tls_common:1:1
      3  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.8%          LazyCompile: ~lazyRequire node:internal/crypto/util:67:21
      2  100.0%            LazyCompile: ~get node:crypto:287:8
      2    2.8%          LazyCompile: ~initCJSParse node:internal/modules/esm/translators:58:28
      2  100.0%            LazyCompile: ~commonjsStrategy node:internal/modules/esm/translators:146:60
      2    2.8%          Function: ~<anonymous> node:internal/crypto/pbkdf2:1:1
      2  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.8%          Function: ~<anonymous> node:internal/crypto/hkdf:1:1
      2  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.8%          Function: ~<anonymous> node:internal/cluster/primary:1:1
      2  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    2.8%          Function: ~<anonymous> node:_http_common:1:1
      2  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.4%          LazyCompile: ~lazyLoadStreams node:fs:2843:25
      1  100.0%            LazyCompile: ~get ReadStream node:fs:2986:17
      1    1.4%          LazyCompile: ~initializeCJSLoader node:internal/bootstrap/pre_execution:412:29
      1  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1    1.4%          LazyCompile: ~get node:dns:349:8
      1  100.0%            /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1    1.4%          LazyCompile: ~get BlockList node:net:1775:16
      1  100.0%            /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1    1.4%          Function: ~<anonymous> node:tty:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.4%          Function: ~<anonymous> node:internal/crypto/cipher:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.4%          Function: ~<anonymous> node:internal/blocklist:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.4%          Function: ~<anonymous> node:dns:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.4%          Function: ~<anonymous> node:cluster:1:1
      1  100.0%            LazyCompile: *nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    1.4%          Function: ~<anonymous> node:_tls_wrap:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    1.4%          Function: ~<anonymous> node:_http_outgoing:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
     18   19.6%        Function: ^compileForPublicLoader node:internal/bootstrap/loaders:246:25
     18  100.0%          Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
     18  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      2    2.2%        LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
      1   50.0%          LazyCompile: ~loadNativeModule node:internal/modules/cjs/helpers:44:26
      1  100.0%            LazyCompile: ~builtinStrategy node:internal/modules/esm/translators:248:58
      1   50.0%          Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
      1  100.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:757:24
     51    1.8%      LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
     51  100.0%        LazyCompile: ~nativeModuleRequire node:internal/bootstrap/loaders:332:29
     11   21.6%          Function: ~<anonymous> node:internal/webstreams/adapters:1:1
     11  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      5    9.8%          LazyCompile: ~initializeCJSLoader node:internal/bootstrap/pre_execution:412:29
      5  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      5    9.8%          Function: ~<anonymous> node:internal/webstreams/readablestream:1:1
      5  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      5    9.8%          Function: ~<anonymous> node:internal/modules/esm/loader:1:1
      5  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      4    7.8%          Function: ~<anonymous> node:internal/process/esm_loader:1:1
      4  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      4    7.8%          Function: ~<anonymous> node:internal/fs/promises:1:1
      4  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3    5.9%          Function: ~<anonymous> node:internal/modules/esm/get_source:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    3.9%          Function: ~<anonymous> node:internal/source_map/source_map_cache:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    3.9%          Function: ~<anonymous> node:internal/modules/esm/module_map:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    3.9%          Function: ~<anonymous> node:internal/modules/esm/load:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    3.9%          Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    2.0%          LazyCompile: ~initializeSourceMapsHandlers node:internal/bootstrap/pre_execution:451:38
      1  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1    2.0%          LazyCompile: ~initializeReport node:internal/bootstrap/pre_execution:173:26
      1  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1    2.0%          Function: ~<anonymous> node:internal/modules/esm/translators:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.0%          Function: ~<anonymous> node:internal/modules/esm/resolve:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.0%          Function: ~<anonymous> node:internal/modules/cjs/loader:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.0%          Function: ~<anonymous> node:internal/bootstrap/pre_execution:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
     32    1.1%      Function: ^stat node:internal/modules/cjs/loader:151:14
     18   56.3%        Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
     18  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
     18  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
     14   43.8%        Function: ^tryFile node:internal/modules/cjs/loader:384:17
     14  100.0%          Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
     14  100.0%            Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
     31    1.1%      LazyCompile: ~pbkdf2Sync node:internal/crypto/pbkdf2:68:20
     31  100.0%        LazyCompile: ~HI /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/auth/scram.js:227:12
     31  100.0%          LazyCompile: ~continueScramConversation /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/auth/scram.js:93:35
     31  100.0%            LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/auth/scram.js:85:80
     31    1.1%      LazyCompile: ~TLSSocket.getPeerCertificate node:_tls_wrap:984:50
     31  100.0%        LazyCompile: ~onConnectSecure node:_tls_wrap:1516:25
     31  100.0%          Function: ^emit node:events:340:44
     31  100.0%            LazyCompile: ~TLSSocket._finishInit node:_tls_wrap:918:43
    823   17.5%    LazyCompile: *<anonymous> file:///home/raul/coderhousecourse/github_entregable/Loggers%20Y%20Gzip/routes/random.js:10:23
    823  100.0%      Function: ^handle /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/layer.js:86:49
    823  100.0%        LazyCompile: ~next /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/route.js:114:16
    823  100.0%          LazyCompile: ~dispatch /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/route.js:98:45
    823  100.0%            Function: ^handle /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/layer.js:86:49
     87    1.8%    LazyCompile: *compileFunction node:vm:308:25
     50   57.5%      LazyCompile: *Module._compile node:internal/modules/cjs/loader:1051:37
